#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###### Event/decision/modifier definitions;;;;;;;;;;;;;x
###### Druidic rebirth;;;;;;;;;;;;;x
reinstate_celtic_rites;Reinstate Druidic Rite;;;;;;;;;;;;;x
reinstate_celtic_rites_desc;With the help of our court wizard, we could reinstate much of the old Druidic ways.;;;;;;;;;;;;;x
invite_bard_to_court;Invite a Bard to Court;;;;;;;;;;;;;x
invite_bard_to_court_desc;We could patronize one of the many bards wondering the realms and have them serve in our court.;;;;;;;;;;;;;x
celtic_ways;Druidic Rites;;;;;;;;;;;;;x
celtic_ways_desc;This character has taken up ancient Druidic traditions.;;;;;;;;;;;;;x
EVTDESCancrel.0000;A faint whisper draws your attention and you find a haggard old man in a dark corner of your castle. Before you have a chance to throw him out, he explains that he is a wizard. He claims to be powerful in the ways of the old gods, and he has come to offer you his services.;;;;;;;;;;;;;x
EVTOPTAancrel.0000;A man should keep eyes on all matters.;;;;;;;;;;;;;x
EVTOPTBancrel.0000;Strange man, begone!;;;;;;;;;;;;;x
begone_sorcerer;You send the pagan away.;Vous faites sortir cette mis�rable cr�ature.;Ihr schickt die elende Kreatur fort.;;Echas a la criatura miserable.;;;;;;;;;x
EVTDESCancrel.0001;The exploits of the heroes of old, of the High Kings of Ceanada, these stories bring up visions of a better time, when giants and fairies where friends, before man destroyed all in his folly. With the help of your court wizard, you have decided to adopt certain old Druidic rites.;;;;;;;;;;;;;x
EVTOPTAancrel.0001;The spirits of the land must be appeased;;;;;;;;;;;;;x
adopt_celtic_rites;You re-institute old pagan traditions\n;;;;;;;;;;;;;x
EVTDESCancrel.0002;Revolted by the resurgence of old practices in your lands, a priest has come to your court, asking you to reform your ways.;;;;;;;;;;;;;x
EVTOPTAancrel.0002;Why limit myself to one God?;;;;;;;;;;;;;x
adopt_druidism;You become a Druidic pagan\n;;;;;;;;;;;;;x
EVTOPTBancrel.0002;The Old Ways are barbarous, the power of God conquers all.;;;;;;;;;;;;;x
EVTDESCancrel.0003;Your liege has started to follow the teachings of an unwashed pagan wizard and is reinstating old practices, as a Druidist, you find these ideas somewhat interesting...;;;;;;;;;;;;;x
EVTOPTAancrel.0003;The spirits of the land must be appeased;;;;;;;;;;;;;x
EVTOPTBancrel.0003;He is insane!;;;;;;;;;;;;;x
EVTDESCancrel.0004;Your vassal, [From.GetTitledFirstName], has adopted the Druidic traditions you have instituted;;;;;;;;;;;;;x
EVTOPTAancrel.0004;Good;;;;;;;;;;;;;x
