party_magnate;Magnate;;;;;;;;;;;;;x
party_magnate_desc;This person is politically aligned with the Magnates, who vow to protect the exclusive rights of the nobility.;;;;;;;;;;;;;x
party_populist;Populist;;;;;;;;;;;;;x
party_populist_desc;This person is politically aligned with the Populists, who support empowering the monarch and the Senate.;;;;;;;;;;;;;x
party_theocratic;Theocrat;;;;;;;;;;;;;x
party_theocratic_desc;This person is politically aligned with the Theocrats, who promote the interests of the clergy.;;;;;;;;;;;;;x
party_royalist;Royalist;;;;;;;;;;;;;x
party_royalist_desc;Whether for dynastic or personal reasons, this person is politically aligned with [Root.GetHerHis] liege and will promote their interests.;;;;;;;;;;;;;x
party_opposition;Opposition;;;;;;;;;;;;;x
party_opposition_desc;This person openly opposes their liege and will vote against their interests.;;;;;;;;;;;;;x

party_magnate_loc;Magnate;;;;;;;;;;;;;x
party_populist_loc;Populist;;;;;;;;;;;;;x
party_theocratic_loc;Theocrat;;;;;;;;;;;;;x
party_royalist_loc;Royalist;;;;;;;;;;;;;x
party_opposition_loc;Opposition;;;;;;;;;;;;;x
crown_texas;The Star Crown;;;;;;;;;;;;;x
crown_texas;Starcrown;;;;;;;;;;;;;x
crown_texas_desc;A winged silver star embedded with rubies and sapphires. Its glorious shine represents the bright future of the Lone Star realm.;;;;;;;;;;;;;x

EVTTITLE_ORFmaint_2;The Range Shrinks;;;;;;;;;;;;;x
EVTDESC_ORFmaint_2;Due to the construction of a new city, the amount of open range accessible to your herd has shrunk.;;;;;;;;;;;;;x
OPTA_ORFmaint_2;I see.;;;;;;;;;;;;;x

adopt_orf;Adopt Open Range Feudalism;;;;;;;;;;;;;x
adopt_orf_desc;While difficult, smaller realms may adopt the ways of the range, freeing their serfs but setting aside new rights and privileges for their nobles.;;;;;;;;;;;;;x
become_ORF_TT;Adopt §YOpen Range Feudal Government§!;;;;;;;;;;;;;x

abandon_orf;Abandon Open Range Feudalism;;;;;;;;;;;;;x
abandon_orf_desc;While difficult, smaller realms may abandon the ways of the range, handing out the range as personal fiefdoms to the more powerful nobles.;;;;;;;;;;;;;x
become_feudal_TT;Adopt §YFeudal Government§!;;;;;;;;;;;;;x

ca_orf_range_marshal_1;Heroic Statue;;;;;;;;;;;;;;x
ca_orf_range_marshal_1;This heroic statue stands as a testament of the deeds of the great men who came before.;;;;;;;;;;;;;;x
range_building_only_in_capital;Is the capital of the province.;;;;;;;;;;;;;;x
ca_orf_range_marshal_2;Marshal Headquarters;;;;;;;;;;;;;x
ca_orf_range_marshal_2_desc;Marshals are the backbone of justice on the open range. With a sharp eye and loyal deputies, they prevent all manner of crime from cattle rustling to murder.;;;;;;;;;;;;;x

########### format of all election campaign events ####################
#situation
#x = event specific identifier such as "minor_meeting"

EVTDESC_orfelec_problem_x;generic;;;;;;;;;;;;x
EVTOPTA_orfelec_problem_x;generic;;;;;;;;;;;;x
EVTOPTB_orfelec_problem_x;generic;;;;;;;;;;;;x
EVTOPTC_orfelec_problem_x;generic;;;;;;;;;;;;x

#result
EVTDESC_orfelec_resolve_good_x;generic;;;;;;;;;;;;x
EVTDESC_orfelec_resolve_neutral_x;generic;;;;;;;;;;;;x
EVTDESC_orfelec_resolve_bad_x;generic;;;;;;;;;;;;x
EVTOPT_orfelec_resolve_good_x;generic;;;;;;;;;;;;x
EVTOPT_orfelec_resolve_neutral_x;generic;;;;;;;;;;;;x
EVTOPT_orfelec_resolve_bad_x;generic;;;;;;;;;;;;x

###########
#this is what is shown on all options
ORFELECCUSTOM; The results will depend on your abilities and skills;;;;;;;;;;;;x

run_for_senate;Run For Senate;;;;;;;;;;;;x
run_for_senate_desc;By the laws of this land I have the right to run for the Senate.;;;;;;;;;;;;x
valid_orf_election_candidates_TT;At least one senator has not won an election in the past six years and is not currently defending their seat;;;;;;;;;;;;;x
election_lost_cooldown_TT;Has lost a Senate election in the past two years;;;;;;;;;;;;;x
running_for_office_cooldown_TT;Has run for a Senate election in the past two years;;;;;;;;;;;;;x
running_against;Running Against;;;;;;;;;;;;;x
orf_lost_election_to;Lost Election To;;;;;;;;;;;;;x

EVTTITLE_orfelection_1;Choosing an Opponent;;;;;;;;;;;;;x
