#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

IMAGINEER;Imagineer;;;;;;;;;;;;;x
GRAND_PARK_OF;Grand Park of;;;;;;;;;;;;;x

EVTNAMECONSUMER21;The Victorious Prophet;;;;;;;;;;;;;x
EVTDESCCONSUMER21;The Consumerist prophet Adam has successfully led his followers against their enemies, guaranteeing a foothold for his new religion with an army at his back. While many realms react with mockery or horror at this victory, the Prophet has declared that he shall spread his faith as far as the Almighty Dollar will allow, so that he may save the world from another collapse.;;;;;;;;;;;;;x
EVTOPTACONSUMER21;America shall prosper as it once did!;;;;;;;;;;;;;x
EVTOPTBCONSUMER21;How far will these money-worshipers spread?;;;;;;;;;;;;;x
EVTOPTCCONSUMER21;I wonder how the Prophet's success feels...;;;;;;;;;;;;;x
player_character_consumerprophet_TT;You will switch over to playing Adam the Prophet.;;;;;;;;;;;;;x
EVTNAME_disneyconsumer1;The Mouse and The Prophet;;;;;;;;;;;;;x
EVTDESC_disneyconsumer1;A Consumerist diplomat has arrived at my court for an audience. He explains that the National Mall has taken interest in the affairs of The Mouse, as our predecessors once corporatized America's greatest artists and stories. If I accept a conversion to Consumerism, the Prophet will send an investment to back any of our future conquests in Florida and restore our former glory.;;;;;;;;;;;;;x
EVTOPTA_disneyconsumer1;The House of Mouse accepts your deal!;;;;;;;;;;;;;x
EVTOPTB_disneyconsumer1;I must refuse the Prophet's offer.;;;;;;;;;;;;;x

CODEKEEPER;Codekeeper;;;;;;;;;;;;;x

EVTOPT_pirate_treasure_prosperity;I seek treasure and prosperity for my crew!;;;;;;;;;;;;;x
EVTOPT_pirate_fearsome;I will become the most fearsome fighter on the seven seas!;;;;;;;;;;;;;x
EVTOPT_pirate_socialization;I want to have a good time and enjoy all I can!;;;;;;;;;;;;;x
EVTOPT_pirate_everything;Wherever the winds take me!;;;;;;;;;;;;;x

celebrate_black_friday;Celebrate Black Friday;;;;;;;;;;;;;x
celebrate_black_friday_desc;Black Friday is our most sacred holiday, and I can engage in its Shopping rituals to bring prosperity before the New Year.;;;;;;;;;;;;;x
trade_on_stock_market;Trade in the Stock Market;;;;;;;;;;;;;x
trade_on_stock_market_desc;Corporate leaders are able to trade shares on the stock market, praying to Dow Jones for success.;;;;;;;;;;;;;x
gamble_at_casino;Gamble at the Casino;;;;;;;;;;;;;x
gamble_at_casino_desc;Games of chance are commonly played among Consumerists at casino venues, and I can try my hand at a game for Lady Luck to bless me with fortune.;;;;;;;;;;;;;x

embark_on_shore_leave;Embark on Shore Leave;;;;;;;;;;;;;x
embark_on_shore_leave_desc;Pirates and sailors will occasionally take a break from sea life and vacation on land, engaging in revelry and debauchery.;;;;;;;;;;;;;x
raid_sailing_ship;Raid a Sailing Ship;;;;;;;;;;;;;x
raid_sailing_ship_desc;One cannot call themselves a pirate without raiding enemy ships, and now you can have your crew attack a vessel for treasure!;;;;;;;;;;;;;x
pirate_raid;You set out with your crew...;;;;;;;;;;;;;x
vassalize_code_keepers;Vassalize the Keepers of the Code;;;;;;;;;;;;;x
vassalize_code_keepers_desc;As the rightful Pirate King, I can recruit the Keepers of the Code into my service.;;;;;;;;;;;;;x

TXT_black_friday_decision;You head to your nearest Mall or store the night before Black Friday...;;;;;;;;;;;;;x
EVTTITLE_black_friday_1;Black Friday;;;;;;;;;;;;;x
EVTDESC_black_friday_1;I joined a mass of faithful Consumerists at the tent encampment that had been set up outside the Market doors, setting up my own tent alongside them. It has been customary since pre-Event times for adherents of the Almighty Dollar to camp together outside on the night before Black Friday, so that they can share camradery before the following day-long spree of competitive Shopping. Night eventually turned to morning, and I made my way towards the market doors, heading inside to begin my Shopping.;;;;;;;;;;;;;x
EVTOPTA_black_friday_1;May the Almighty Dollar bless me with a quick cart and excellent savings.;;;;;;;;;;;;;x
EVTDESC_black_friday_2;I wander through the halls and aisles in a rush, reminding myself that I must not slow down lest others win the Dollar's favor first. What was it that I needed to buy?;;;;;;;;;;;;;x
EVTOPTA_black_friday_2;A fun toy!;;;;;;;;;;;;;x
EVTOPTB_black_friday_2;A useful gadget.;;;;;;;;;;;;;x
EVTOPTC_black_friday_2;A fashionable attire.;;;;;;;;;;;;;x
EVTDESC_black_friday_3;I head towards the toy aisles on the other end of the store, browsing their collection of playthings while other parents do the same. What sort of toy should I get my children this Black Friday?;;;;;;;;;;;;;x
EVTOPTA_black_friday_3;Any old toy will do.;;;;;;;;;;;;;x
EVTOPTB_black_friday_3;I want to get them a decent toy.;;;;;;;;;;;;;x
EVTOPTC_black_friday_3;An expensive toy worthy for my children!;;;;;;;;;;;;;x
EVTOPTD_black_friday_3;The rarest and most valuable toy in the store!;;;;;;;;;;;;;x
EVTDESC_black_friday_4;Gadgets are where I head to, scanning the various doohickies and Old World antiques on the shelves. Most of them either don't work anymore or are cheap replacements, but owning one anyway wouldn't hurt.;;;;;;;;;;;;;x
EVTOPTA_black_friday_4;A basic gadget will be fine.;;;;;;;;;;;;;x
EVTOPTB_black_friday_4;I want a more sophisticated device.;;;;;;;;;;;;;x
EVTOPTC_black_friday_4;I seek a truly expensive relic of creation.;;;;;;;;;;;;;x
EVTOPTD_black_friday_4;A fully functioning or truly invaluable gadget, of the highest quality!;;;;;;;;;;;;;x
EVTDESC_black_friday_5;I make my way towards the Clothing section, seeking attire that I can show off or at least comfortably wear. New apparel is the most common and obvious method for a Consumerist to express their Shopping expertise, and now I should decide what sort of clothes I want.;;;;;;;;;;;;;x
EVTOPTA_black_friday_5;Basic robes are fine for me.;;;;;;;;;;;;;x
EVTOPTB_black_friday_5;Those suits over there look rather nice.;;;;;;;;;;;;;x
EVTOPTC_black_friday_5;I want something truly elegant.;;;;;;;;;;;;;x
EVTOPTD_black_friday_5;I shall buy only the most unique attire, fit for my station!;;;;;;;;;;;;;x
EVTDESC_black_friday_6;Black Friday has come to an end as Consumerist mobs shuffle their way out of the store, carts of items as far as the eye can see. I load my purchases up in a wagon, and make my way back home.;;;;;;;;;;;;;x
EVTOPTA_black_friday_6;A successful Shopping day!;;;;;;;;;;;;;x
TXT_black_friday_end;Black Friday comes to an end.;;;;;;;;;;;;;x
black_friday_timer;Black Friday Timer;;;;;;;;;;;;;x
shopped_black_friday;Recently Celebrated Black Friday;;;;;;;;;;;;;x

TXT_stock_market_decision;You head down to make your stock market investment...;;;;;;;;;;;;;x
EVTTITLE_stock_market_1;The Stock Market;;;;;;;;;;;;;x
EVTDESC_stock_market_1;Investments and trading stocks make the Corporate world go round, and I intend to play my hand by investing into businesses or corporations. It is my choice on if I want to play it safe or be risky with my investment.;;;;;;;;;;;;;x
EVTOPTA_stock_market_1;Invest in Low-Risk;;;;;;;;;;;;;x
EVTOPTB_stock_market_1;Invest in Medium-Risk;;;;;;;;;;;;;x
EVTOPTC_stock_market_1;Invest in High Risk;;;;;;;;;;;;;x
EVTDESC_stock_market_2;Your low risk investment has bore fruit, and you have made money back.;;;;;;;;;;;;;x
EVTOPTA_stock_market_2;Excellent.;;;;;;;;;;;;;x
EVTDESC_stock_market_3;Your low risk investment unfortunately backfired, and you have lost the money that you invested.;;;;;;;;;;;;;x
EVTOPTA_stock_market_3;Curses!;;;;;;;;;;;;;x
EVTDESC_stock_market_4;Your medium risk investment has bore fruit, and you have made money back.;;;;;;;;;;;;;x
EVTOPTA_stock_market_4;Excellent.;;;;;;;;;;;;;x
EVTDESC_stock_market_5;Your medium risk investment unfortunately backfired, and you have lost the money that you invested.;;;;;;;;;;;;;x
EVTOPTA_stock_market_5;Curses!;;;;;;;;;;;;;x
EVTDESC_stock_market_6;Your high risk investment has bore fruit, and you have made a great deal of money back!;;;;;;;;;;;;;x
EVTOPTA_stock_market_6;Dow Jones has blessed me!;;;;;;;;;;;;;x
EVTDESC_stock_market_7;Your high risk investment unfortunately backfired, and you have lost the money that you invested!;;;;;;;;;;;;;x
EVTOPTA_stock_market_7;This is the work of the Bear!;;;;;;;;;;;;;
stock_market_timer;Stock Market Timer;;;;;;;;;;;;;x
recently_traded_stock;Recently Traded Stock;;;;;;;;;;;;;x

TXT_casino_decision;You make your way to the casino.;;;;;;;;;;;;;x
EVTTITLE_casino_1;Casino Night;;;;;;;;;;;;;
EVTDESC_casino_1;You pass by the flickering lanterns as dusk turns to night, entering the casino with an intent to win big tonight. Tables are filled with guests having their shot at games of chance and skill, hoping to also be blessed by Lady Luck. You sit down at such a game, deciding how much you will bet as the dealer begins shuffling cards.;;;;;;;;;;;;;
EVTOPTA_casino_1;I will play it safe.;;;;;;;;;;;;;
EVTOPTB_casino_1;We can raise the stakes here.;;;;;;;;;;;;;
